competitor_id,overall,max_metric_abs_diff,aggregate_score_diff_vs_lcc,collapse_candidate
T3_CausalModelBasedControl,tie,0.0,0.0,True
T2_ModelBasedRL_WorldModelPlanner,loss,0.31,-0.056429,False
T4_ActiveInference_EFE_Controller,loss,0.15,-0.026429,False
T5_Empowerment_ControllabilityPlanner,loss,0.18,-0.050714,False
T6_PredictiveProcessing_Control,loss,0.21,-0.044286,False
T7_MetaRL_RecurrentPolicy,loss,0.25,-0.060714,False
T8_ProgramSearch_Planner,loss,0.2,-0.062143,False
T9_StrongHeuristic_SafetyControl,loss,0.39,-0.117143,False
