unit_id,unit_type,phase,member,cell_id,metric,recommend_turn_conditional_metric,n_eval_points,wall_clock_seconds,process_cpu_seconds,wall_cpu_ratio,wall_cpu_ratio_flag_gt_1_25,cumulative_contention_robust_cpu_hours,run_started_at,run_finished_at,heldout_users_800_999_touched,future_observations_used,metric_digest
member::cert::predict_none::constant_none,member,cert,predict_none,constant_none,1.0,1.0,48000,76.11616590000267,75.5625,1.0073272575682735,False,0.5251475694444444,2026-07-04T06:38:47Z,2026-07-04T06:40:03Z,False,False,a85576438fe86c98a9ab86c036d34f975d843e3342f59305c15254085a855215
member::cert::majority::constant_none,member,cert,majority,constant_none,1.0,1.0,48000,76.58072439999887,76.140625,1.0057800865175308,False,0.5462977430555556,2026-07-04T06:38:47Z,2026-07-04T06:40:03Z,False,False,a85576438fe86c98a9ab86c036d34f975d843e3342f59305c15254085a855215
member::cert::predict_all::constant_saturated,member,cert,predict_all,constant_saturated,1.0,1.0,48000,77.34752060000028,76.90625,1.0057377729378338,False,0.5676605902777778,2026-07-04T06:38:47Z,2026-07-04T06:40:04Z,False,False,86c872153ce699370de3fd1d086cb91a34f5a0de5e07901e9414e2765fb1380a
member::cert::global_prior::constant_none,member,cert,global_prior,constant_none,1.0,1.0,48000,78.93748480000068,78.375,1.0071768395534377,False,0.5894314236111111,2026-07-04T06:38:47Z,2026-07-04T06:40:06Z,False,False,a85576438fe86c98a9ab86c036d34f975d843e3342f59305c15254085a855215
member::cert::seq_full_history_no_action_conditioning::constant_none,member,cert,seq_full_history_no_action_conditioning,constant_none,0.0,0.0,48000,93.15381210000123,92.578125,1.0062183923038108,False,0.6151475694444445,2026-07-04T06:38:47Z,2026-07-04T06:40:20Z,False,False,f21aaf51e0a035fdca2b53fa991c48091283b4c9ea867655c4fd32e68e772882
